Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,Day,Month,Year,Anomaly
2015-01-13 18:52:47,Cash,Food,,tea,34.5,Expense,PKR,13,1,2015,No
2015-01-13 18:52:47,Cash,Other,,Internet renewal,1725.0,Expense,PKR,13,1,2015,No
2015-01-14 12:42:56,Saving Bank account 1,Transportation,,travels - Mumbai to brc,2622.0,Expense,PKR,14,1,2015,No
2015-01-14 15:35:57,Cash,Food,,Lunch - chicken fried rice + chicken soup,414.0,Expense,PKR,14,1,2015,No
2015-01-14 23:38:24,Cash,Food,,3 bananas,44.85,Expense,PKR,14,1,2015,No
2015-01-15 18:23:03,Cash,Food,,tea,34.5,Expense,PKR,15,1,2015,No
2015-01-15 18:23:11,Cash,Transportation,,auto - Amit nagar to b45,345.0,Expense,PKR,15,1,2015,No
2015-01-15 22:22:20,Cash,Food,,Ratri Bazar,534.75,Expense,PKR,15,1,2015,No
2015-01-16 16:30:51,Cash,Transportation,,auto -  to race course,34.5,Expense,PKR,16,1,2015,No
2015-01-16 16:32:42,Cash,Transportation,,auto - Alk to GTR,172.5,Expense,PKR,16,1,2015,No
2015-01-16 16:33:49,Cash,Transportation,,auto - GTR to hospital,103.5,Expense,PKR,16,1,2015,No
2015-01-18 07:31:42,Cash,Food,,milk half gold,100.05,Expense,PKR,18,1,2015,No
2015-01-18 07:31:42,Cash,Food,,tea,27.6,Expense,PKR,18,1,2015,No
2015-01-18 07:33:20,Cash,Food,,vegetable,207.0,Expense,PKR,18,1,2015,No
2015-01-19 07:34:00,Cash,Food,,milk half gold,100.05,Expense,PKR,19,1,2015,No
2015-01-20 09:32:18,Cash,Food,,srikhand,224.25,Expense,PKR,20,1,2015,No
2015-01-21 09:05:41,Cash,Food,,shev,172.5,Expense,PKR,21,1,2015,No
2015-01-21 09:32:34,Cash,Food,,milk half gold,96.6,Expense,PKR,21,1,2015,No
2015-01-21 13:11:41,Credit Card,Transportation,,train - brc to mmct,476.1,Expense,PKR,21,1,2015,No
2015-01-21 13:12:12,Cash,Transportation,,train - bdts to brc,910.8,Expense,PKR,21,1,2015,No
2015-01-21 18:17:03,Cash,Food,,samosa + 2 tea,93.15,Expense,PKR,21,1,2015,No
2015-01-21 18:17:03,Cash,Household,,broom,207.0,Expense,PKR,21,1,2015,No
2015-01-21 18:17:03,Cash,Food,,grocery,414.0,Expense,PKR,21,1,2015,No
2015-01-22 16:44:45,Cash,Food,,snacks,113.85,Expense,PKR,22,1,2015,No
2015-01-22 16:44:45,Cash,Food,,tea,69.0,Expense,PKR,22,1,2015,No
2015-01-24 16:17:57,Cash,Food,,tea,103.5,Expense,PKR,24,1,2015,No
2015-01-25 18:45:56,Cash,Beauty,,hair cut,207.0,Expense,PKR,25,1,2015,No
2015-01-26 07:40:05,Credit Card,Food,,grocery,1072.95,Expense,PKR,26,1,2015,No
